user,score,feedbackGiven
64c0a0f1f1a1a1a1a1a1a1a1,87,true
64c0a0f1f1a1a1a1a1a1a1a2,64,false
64c0a0f1f1a1a1a1a1a1a1a3,45,true
64c0a0f1f1a1a1a1a1a1a1a4,92,false
64c0a0f1f1a1a1a1a1a1a1a5,78,true
64c0a0f1f1a1a1a1a1a1a1a6,55,false
64c0a0f1f1a1a1a1a1a1a1a7,68,true
64c0a0f1f1a1a1a1a1a1a1a8,80,false
64c0a0f1f1a1a1a1a1a1a1a9,96,true
64c0a0f1f1a1a1a1a1a1a1b0,74,true
64c0a0f1f1a1a1a1a1a1a1b1,59,false
64c0a0f1f1a1a1a1a1a1a1b2,77,true
64c0a0f1f1a1a1a1a1a1a1b3,60,false
64c0a0f1f1a1a1a1a1a1a1b4,88,true
64c0a0f1f1a1a1a1a1a1a1b5,93,false
64c0a0f1f1a1a1a1a1a1a1b6,61,true
64c0a0f1f1a1a1a1a1a1a1b7,85,true
64c0a0f1f1a1a1a1a1a1a1b8,48,false
64c0a0f1f1a1a1a1a1a1a1b9,70,true
64c0a0f1f1a1a1a1a1a1a1c0,56,false
64c0a0f1f1a1a1a1a1a1a1c1,66,true
64c0a0f1f1a1a1a1a1a1a1c2,90,false
64c0a0f1f1a1a1a1a1a1a1c3,73,true
64c0a0f1f1a1a1a1a1a1a1c4,62,false
64c0a0f1f1a1a1a1a1a1a1c5,84,true
64c0a0f1f1a1a1a1a1a1a1c6,67,false
64c0a0f1f1a1a1a1a1a1a1c7,89,true
64c0a0f1f1a1a1a1a1a1a1c8,71,true
64c0a0f1f1a1a1a1a1a1a1c9,65,false
64c0a0f1f1a1a1a1a1a1a1d0,79,true
